Geographic code,Geographic name,Province or territory,"Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2016","Population, 2011",2011 adjusted population flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016"
5350622,5350622,Ontario,F,6042,6035,F,0.1,2300,2267,2.63,2295.5
5350623,5350623,Ontario,F,3604,3391,F,6.3,1781,1720,1.49,2421.1
5350624,5350624,Ontario,F,5280,5351,F,-1.3,1991,1976,1.72,3062.3
5350625,5350625,Ontario,F,880,789,F,11.5,180,172,15.13,58.2
5350626,5350626,Ontario,F,5841,5836,F,0.1,2111,2029,189.88,30.8
5350630,5350630,Ontario,F,3315,3284,T,0.9,1147,1092,110.26,30.1
5350631.02,5350631.02,Ontario,F,4903,4399,F,11.5,1446,1441,2.4,2040.9
5350631.03,5350631.03,Ontario,F,4827,4667,F,3.4,1348,1321,1.65,2924.4
5350631.04,5350631.04,Ontario,F,5440,4433,F,22.7,1663,1638,1.61,3375.7
5350632,5350632,Ontario,F,4353,4514,F,-3.6,1703,1674,2.05,2121.3
5350633,5350633,Ontario,F,3379,3129,F,8,1424,1386,3.67,921.6
5350634.01,5350634.01,Ontario,F,4431,4451,F,-0.4,1481,1469,2.98,1485.7
5350634.02,5350634.02,Ontario,F,3666,3750,F,-2.2,1397,1382,1.44,2545.7
5350635,5350635,Ontario,F,6066,5967,F,1.7,2542,2492,2.9,2091.4
5350636,5350636,Ontario,F,3064,2849,F,7.5,1135,1110,1.56,1969.8
5350637,5350637,Ontario,F,7255,7139,F,1.6,2297,2249,128.97,56.3
5350638,5350638,Ontario,F,6012,6141,F,-2.1,2347,2297,6.43,935.3
5350639,5350639,Ontario,F,4450,4290,F,3.7,1545,1527,10.35,430.1
5350800.01,5350800.01,Ontario,F,3107,2519,F,23.3,1461,1404,1.07,2907.3
5350800.02,5350800.02,Ontario,F,4534,4712,F,-3.8,1878,1768,10.51,431.2
5350801.01,5350801.01,Ontario,F,3513,3911,F,-10.2,1409,1376,1.45,2419.8
5350801.02,5350801.02,Ontario,F,5881,5761,F,2.1,2043,2001,3.85,1528.6
5350802.01,5350802.01,Ontario,F,3829,3976,F,-3.7,1290,1267,2.18,1754.7
5350802.02,5350802.02,Ontario,F,5675,5350,F,6.1,1844,1826,2.26,2511.4
5350803.03,5350803.03,Ontario,F,5375,5424,F,-0.9,1779,1730,2.96,1813.3
5350803.04,5350803.04,Ontario,F,5923,5894,F,0.5,1761,1729,2.79,2125.3
5350803.05,5350803.05,Ontario,F,6831,6778,F,0.8,2101,2085,2.46,2782.3
5350803.06,5350803.06,Ontario,F,5564,5791,F,-3.9,1750,1725,1.56,3558.5
5350804.01,5350804.01,Ontario,F,7247,7218,F,0.4,2308,2270,3.06,2367.3
5350804.05,5350804.05,Ontario,F,6786,7009,F,-3.2,2228,2177,3.06,2220.1
5350804.06,5350804.06,Ontario,F,3039,3172,F,-4.2,1077,1071,0.82,3725.6
5350804.07,5350804.07,Ontario,F,4148,3828,F,8.4,1428,1404,0.91,4567.3
5350804.08,5350804.08,Ontario,F,3663,3888,F,-5.8,1180,1163,2.49,1472.6
5350804.1,5350804.1,Ontario,F,4955,4846,F,2.2,2281,2264,1.5,3313.3
5350804.11,5350804.11,Ontario,F,5537,5633,F,-1.7,2038,2012,1.69,3277.3
5350804.12,5350804.12,Ontario,F,6694,3232,F,107.1,2027,1988,7.53,888.8
5350804.13,5350804.13,Ontario,F,5012,5115,F,-2,1411,1358,1.92,2605.3
5350805.04,5350805.04,Ontario,F,7226,6668,F,8.4,2278,2245,7,1031.6
5350805.06,5350805.06,Ontario,F,6033,5870,F,2.8,1860,1821,1.48,4084.6
5350805.09,5350805.09,Ontario,F,5667,5647,F,0.4,1640,1616,1.12,5066.6
5350805.1,5350805.1,Ontario,F,6452,6520,F,-1,2054,2030,1.18,5456.7
5350805.12,5350805.12,Ontario,F,8669,6617,F,31,2394,2363,12.69,683
5350805.14,5350805.14,Ontario,F,8725,6439,T,35.5,2435,2409,7.78,1121.4
5350805.15,5350805.15,Ontario,F,9412,5013,T,87.8,2607,2575,8.33,1130.4
5350805.16,5350805.16,Ontario,F,7355,6539,T,12.5,1824,1797,2.06,3567.1
5350805.17,5350805.17,Ontario,F,5636,5498,T,2.5,1488,1483,1.25,4507
5350805.18,5350805.18,Ontario,F,3048,3137,T,-2.8,961,951,0.76,3995.8
5350805.19,5350805.19,Ontario,F,1853,1847,T,0.3,637,630,0.3,6241.2
5350805.2,5350805.2,Ontario,F,4736,4098,T,15.6,1434,1409,1.72,2758.8
